ID	mu	sigma
2394	20.93	2.143
2395	48.981	3.434
2396	20.714	2.44
2405	52.616	3.361
2406	54.191	3.433
2407	54.374	3.166
2408	54.566	3.229
2409	52.154	3.288
2410	53.047	3.466
2411	52.057	3.224
2412	48.008	3.42
2416	19.58	2.381
2417	17.281	2.638
2418	19.406	2.325
2432	79.119	3.953
2433	77.439	3.987
2434	75.889	3.811
2435	76.626	3.933
2437	68.876	4.529
2442	94.287	4.845
2443	90.478	4.892
2445	94.502	4.687
2448	90.017	5.279
2449	105.06	5.167
2450	103.077	5.168
2451	105.428	5.301
2452	103.732	4.848
2453	86.98	5.013
2454	101.686	5.362
2455	95.135	4.785
2456	105.724	5.729
2457	94.269	4.663
2458	93.199	4.628
2459	95.63	5.467
2460	83.679	5.264
2469	78.843	4.71
2470	85.485	4.258
2471	84.253	4.585
2472	88.341	4.315
2473	89.786	4.261
2474	86.895	4.307
2475	84.93	4.505
2476	83.041	4.089
2480	76.397	4.009
2481	69.53	4.275
2482	74.08	4.219
2496	39.719	2.958
2498	55.045	3.249
2500	58.01	3.199
2502	59.09	3.248
2504	42.554	3.089
2506	58.635	3.121
2507	56.937	3.652
2508	57.852	3.368
2509	59.737	3.445
2510	58.254	3.097
2511	43.188	2.798
2512	43.485	2.8
2513	44.352	2.933
2514	43.27	2.745
2515	43.587	2.955
2517	40.651	2.887
2525	21.529	2.161
2526	20.301	2.294
2527	22.17	1.997
2528	22.457	2.029
2529	22.2	1.97
2530	22.196	2.026
2531	20.347	2.494
2532	21.616	2.046
2548	46.124	3.007
2550	49.168	3.079
2551	48.168	2.858
2552	49.725	3.284
2553	48.533	2.777
2554	47.502	2.819
2555	48.891	2.845
2557	45.566	3.124
2560	26.61	2.819
2562	17.239	2.93
2564	20.171	2.514
2566	19.883	2.566
2568	32.356	2.572
2570	18.35	2.124
2571	16.352	2.765
2572	18.74	2.273
2573	17.12	2.198
2574	19.372	2.062
2575	34.785	2.698
2576	32.618	2.555
2577	32.525	2.313
2578	33.253	2.493
2579	32.573	2.419
2581	31.304	2.616
2589	26.367	2.28
2590	22.478	2.366
2591	26.392	2.306
2592	24.245	1.98
2593	24.941	1.916
2594	25.127	2.032
2595	24.723	2.313
2596	24.455	1.964
2612	24.921	2.459
2614	28.445	2.397
2615	28.093	2.516
2616	29.531	2.47
2617	29.186	2.35
2618	27.247	2.512
2619	29.934	2.816
2621	26.495	2.728
2624	53.202	3.284
2625	57.454	3.512
2626	56.481	3.951
2627	52.64	3.332
2629	51.551	3.373
2634	75.39	4.26
